"filename", "language", "YAML", "Dart", "Markdown", "C++", "Groovy", "Swift", "XML", "JSON", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 4, 14, 79
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 47
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 11, 1, 43
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\build.gradle", "Groovy", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\android\settings.gradle", "Groovy", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\custom\line_chart.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\custom\loading.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\models\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\Authentication\authenticate.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, -8, 3, 33
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\Authentication\register.dart", "Dart", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\Authentication\register3.dart", "Dart", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\Authentication\registration_class.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\bolus.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 63
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\daily_log_screen\daily_log_screen.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\daily_log_screen\food_log_tile.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\home_screen.dart", "Dart", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\item_info_screen.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\landing_screen\landing_screen.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 12
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\logging_food\food_search_list.dart", "Dart", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\logging_food\food_tile.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
